name,number_of_cats,handedness
Bernice Warren,0,left
Woodrow Stone,0,left
Willie Bass,1,left
Tyrone Estrada,3,left
Alex Daniels,3,left
Jane Bates,2,left
Latoya Simpson,1,left
Darin Woods,1,left
Agnes Cobb,0,left
Tabitha Grant,0,left
Perry Cross,0,left
Wanda Silva,0,left
Alicia Sims,1,left
Emily Logan,3,right
Woodrow Elliott,3,right
Brent Copeland,2,right
Pedro Carlson,1,right
Patsy Luna,1,right
Brett Robbins,0,right
Oliver George,0,right
Calvin Perry,1,right
Lora Gutierrez,1,right
Charlotte Sparks,0,right
Earl Mack,0,right
Leslie Wade,4,right
Santiago Barker,0,right
Jose Bell,0,right
Lynda Smith,0,right
Bradford Marshall,0,right
Irving Miller,0,right
Caroline Simpson,0,right
Frances Welch,0,right
Melba Jenkins,0,right
Veronica Morales,0,right
Juanita Cunningham,0,right
Maurice Howard,0,right
Teri Pierce,0,right
Phil Franklin,0,right
Jan Zimmerman,0,right
Leslie Price,0,right
Bessie Patterson,0,right
Ethel Wolfe,0,right
Naomi Wright,1,right
Sadie Frank,3,right
Lonnie Cannon,3,right
Tony Garcia,2,right
Darla Newton,1,right
Ginger Clark,1.5 - honestly I think one of my cats is half human,right
Lionel Campbell,0,right
Florence Klein,0,right
Harriet Leonard,0,right
Terrence Harrington,0,right
Travis Garner,1,right
Doug Bass,three,right
Pat Norris,1,right
Dawn Young,1,ambidextrous
Shari Alvarez,1,ambidextrous
Tamara Robinson,0,ambidextrous
Megan Morgan,0,ambidextrous
Kara Obrien,2,ambidextrous
